803	122
869	604
880	470
813	934
676	884
810	70
564	862
818	191
855	30
811	591
876	443
810	712
826	460
881	586
879	931
863	204
827	666
839	781
872	236
846	522
798	218
1012	1004
662	839
854	313
859	622
778	852
120	868
819	559
835	820
980	1012
878	436
864	361
1028	959
845	312
889	594
851	598
853	521
978	963
348	802
799	64
814	909
885	725
960	62
823	472
815	28
581	865
820	442
802	795
816	886
814	194
880	717
841	131
151	854
12	811
561	804
218	798
786	835
855	446
815	655
965	904
704	864
889	282
798	520
206	862
814	200
420	798
855	446
981	273
752	805
106	803
875	697
1013	981
253	808
838	834
889	51
800	111
408	825
304	805
882	948
856	331
362	854
52	825
820	642
888	334
873	321
820	871
871	830
844	127
993	977
848	684
830	394
851	616
882	856
870	950
352	868
883	96
860	44
911	854
37	873
524	856
208	885
1025	968
1035	957
823	287
877	181
855	174
860	549
822	84
808	538
830	23
823	53
852	899
886	748
824	258
426	820
802	723
854	101
997	975
803	365
814	891
830	809
852	778
776	846
833	440
843	510
879	741
1012	1004
813	325
859	755
814	914
32	809
808	645
815	366
830	445
960	1036
1012	979
873	37
877	75
463	813
898	846
602	848
981	984
818	599
814	769
163	816
879	741
837	941
857	630
831	196
804	291
377	858
833	429
833	767
809	200
833	346
557	885
72	885
874	75
978	95
1012	999
828	844
382	833
818	793
851	149
77	851
384	825
854	364
469	819
814	439
811	757
808	310
885	557
993	1022
457	802
180	805
1025	1015
861	826
813	955
241	869
805	210
826	128
842	510
846	898
873	643
812	116
851	414
861	851
289	868
802	134
340	852
830	585
976	1023
863	943
549	860
97	850
675	848
813	667
856	903
4	860
855	230
859	276
64	799
843	179
860	368
823	791
880	692
851	199
322	825
835	533
438	823
844	405
987	997
108	859
836	576
34	851
361	864
885	39
630	857
957	904
869	354
863	335
873	55
879	198
82	816
856	249
864	328
813	486
829	127
854	313
819	526
960	273
357	817
912	814
871	820
808	83
518	808
805	597
799	813
830	35
832	444
854	574
76	856
834	587
856	437
767	833
798	520
804	189
606	889
856	918
398	844
820	56
798	716
862	638
976	1023
846	776
843	267
777	873
837	835
805	925
848	92
1033	957
849	45
834	837
849	554
810	121
808	159
341	848
17	862
834	905
826	861
814	143
857	904
823	293
888	683
857	252
868	797
873	202
802	625
855	542
840	646
861	339
183	833
6	805
422	840
